MEDV,INDUS,CHAS,NOX,RAD
8.3,18.1,0,0.693,24
8.5,18.1,0,0.693,24
5,18.1,0,0.693,24
11.9,18.1,0,0.659,24
27.9,18.1,0,0.659,24
17.2,18.1,0,0.597,24
27.5,18.1,0,0.597,24
15,18.1,0,0.597,24
17.2,18.1,0,0.597,24
17.9,18.1,0,0.597,24
16.3,18.1,0,0.597,24
7,18.1,0,0.693,24
7.2,18.1,0,0.679,24
7.5,18.1,0,0.679,24
10.4,18.1,0,0.679,24
8.8,18.1,0,0.679,24
8.4,18.1,0,0.718,24
16.7,18.1,0,0.718,24
14.2,18.1,0,0.718,24
20.8,18.1,0,0.614,24
13.4,18.1,0,0.614,24
11.7,18.1,0,0.584,24
8.3,18.1,0,0.679,24
10.2,18.1,0,0.584,24
10.9,18.1,0,0.679,24
11,18.1,0,0.679,24
9.5,18.1,0,0.679,24
14.5,18.1,0,0.584,24
14.1,18.1,0,0.584,24
16.1,18.1,0,0.584,24
14.3,18.1,0,0.713,24
11.7,18.1,0,0.713,24
13.4,18.1,0,0.74,24
9.6,18.1,0,0.74,24
8.7,18.1,0,0.74,24
8.4,18.1,0,0.74,24
12.8,18.1,0,0.74,24
10.5,18.1,0,0.74,24
17.1,18.1,0,0.74,24
18.4,18.1,0,0.74,24
15.4,18.1,0,0.74,24
10.8,18.1,0,0.74,24
11.8,18.1,0,0.74,24
14.9,18.1,0,0.74,24
12.6,18.1,0,0.74,24
14.1,18.1,0,0.713,24
13,18.1,0,0.713,24
13.4,18.1,0,0.713,24
15.2,18.1,0,0.713,24
16.1,18.1,0,0.713,24
17.8,18.1,0,0.713,24
14.9,18.1,0,0.713,24
14.1,18.1,0,0.713,24
12.7,18.1,0,0.713,24
13.5,18.1,0,0.713,24
14.9,18.1,0,0.713,24
20,18.1,0,0.713,24
16.4,18.1,0,0.713,24
17.7,18.1,0,0.713,24
19.5,18.1,0,0.713,24
20.2,18.1,0,0.713,24
21.4,18.1,0,0.655,24
19.9,18.1,0,0.655,24
19,18.1,0,0.655,24
19.1,18.1,0,0.584,24
19.1,18.1,0,0.58,24
20.1,18.1,0,0.58,24
19.9,18.1,0,0.58,24
19.6,18.1,0,0.532,24
23.2,18.1,0,0.58,24
29.8,18.1,0,0.614,24
13.8,18.1,0,0.584,24
13.3,18.1,0,0.584,24
16.7,18.1,0,0.614,24
12,18.1,0,0.614,24
14.6,18.1,0,0.614,24
21.4,18.1,0,0.614,24
23,18.1,0,0.532,24
23.7,18.1,0,0.532,24
25,18.1,0,0.532,24
21.8,18.1,0,0.532,24
20.6,18.1,0,0.583,24
21.2,18.1,0,0.583,24
19.1,18.1,0,0.583,24
20.6,18.1,0,0.583,24
15.2,27.74,0,0.609,4
7,27.74,0,0.609,4
8.1,27.74,0,0.609,4
13.6,27.74,0,0.609,4
20.1,27.74,0,0.609,4
21.8,9.69,0,0.585,6
24.5,9.69,0,0.585,6
23.1,9.69,0,0.585,6
19.7,9.69,0,0.585,6
18.3,9.69,0,0.585,6
21.2,9.69,0,0.585,6
17.5,9.69,0,0.585,6
16.8,9.69,0,0.585,6
22.4,11.93,0,0.573,1
20.6,11.93,0,0.573,1
23.9,11.93,0,0.573,1
22,11.93,0,0.573,1
11.9,11.93,0,0.573,1
